FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,final1,final2
0,0.037037037037037035,0.02531645569620253,0.0136986301369863,0.028985507246376805,2.0,0.6666666666666666,3,3,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0.6666666666666666,0.0,1.3333333333333333,1.3333333333333333,0.0,1.0,0.0
1,0.037037037037037035,0.012658227848101266,0.0273972602739726,0.028985507246376805,1.0,0.3333333333333333,3,1,2,2,0,1,2,2,0,0,0,0,0,0,0,0,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.6666666666666666,-1.0,0.0,1.0
0,0.012345679012345678,0.02531645569620253,0.0,0.014492753623188406,1.3333333333333333,1.3333333333333333,0,3,2,2,0,3,2,2,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,-13.0,1.0,0.0
1,0.02469135802469136,0.05063291139240506,0.0547945205479452,0.043478260869565216,0.3333333333333333,1.3333333333333333,1,0,2,2,0,3,2,2,0,0,0,0,0,0,0,0,-0.6666666666666666,0.3333333333333333,-1.0,-1.0,15.0,0.0,1.0
1,0.061728395061728385,0.0379746835443038,0.0,0.05797101449275361,2.0,1.0,3,3,2,2,1,3,2,2,0,0,0,0,0,0,0,0,1.6666666666666667,-0.3333333333333333,1.0,1.0,-3.0,0.0,1.0
1,0.061728395061728385,0.06329113924050632,0.0547945205479452,0.028985507246376805,1.25,1.5,0,0,3,2,1,3,3,2,0,0,0,0,0,0,0,0,0.25,0.75,-0.25,-0.25,-2.0,0.0,1.0
0,0.13580246913580246,0.0759493670886076,0.0547945205479452,0.014492753623188406,2.25,2.25,3,3,3,2,3,3,3,2,0,0,0,0,0,0,0,0,1.75,1.25,0.0,0.0,-17.0,1.0,0.0
1,0.061728395061728385,0.012658227848101266,0.1095890410958904,0.05797101449275361,0.25,0.25,0,1,1,2,0,1,1,2,0,0,0,0,0,0,0,0,-0.75,-0.75,0.0,0.0,0.0,0.0,1.0
1,0.07407407407407407,0.0379746835443038,0.0547945205479452,0.014492753623188406,1.5,1.75,3,1,3,2,3,0,3,2,0,0,0,0,0,0,0,0,0.5,0.5,-0.25,-0.25,1.0,0.0,1.0
0,0.04938271604938271,0.0379746835443038,0.0410958904109589,0.07246376811594203,1.0,0.5,3,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0.25,-0.5,0.5,0.5,0.0,1.0,0.0
1,0.02469135802469136,0.0379746835443038,0.0273972602739726,0.07246376811594203,1.0,0.5,3,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0.0,-0.5,0.5,0.5,-7.0,0.0,1.0
