FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
NH,0.01,0.08333333333333333,0.03614457831325301,0.02531645569620253,0.25,1.75,L,D,L,M,M,W,D,W,M,M,0,0,0,0,0,0,0,0,-0.5,1.5,-1.5,-1.5,6.0
H,0.04,0.041666666666666664,0.04819277108433735,0.0379746835443038,0.75,1.25,D,D,D,M,M,D,D,W,M,M,0,0,0,0,0,0,0,0,0.0,0.25,-0.5,-0.5,-3.0
NH,0.03,0.03125,0.012048192771084338,0.05063291139240506,1.0,0.75,L,W,D,M,M,L,L,W,M,M,0,0,0,0,0,0,0,0,0.5,-0.25,0.25,0.25,-5.0
NH,0.07,0.0625,0.04819277108433735,0.10126582278481013,1.0,1.0,D,W,L,M,M,D,L,W,M,M,0,0,0,0,0,0,0,0,0.75,-0.5,0.0,0.0,0.0
NH,0.01,0.020833333333333332,0.08433734939759036,0.02531645569620253,0.75,1.0,L,W,L,M,M,L,W,D,M,M,0,0,0,0,0,0,0,0,-1.5,0.0,-0.25,-0.25,14.0
NH,0.01,0.14583333333333334,0.10843373493975904,0.0,0.0,2.25,L,L,L,M,M,W,W,W,M,M,0,0,0,0,0,0,0,0,-2.0,3.5,-2.25,-2.25,16.0
NH,0.01,0.03125,0.12048192771084337,0.0379746835443038,0.75,1.0,W,L,L,M,M,W,L,D,M,M,0,0,0,0,0,0,0,0,-2.25,0.0,-0.25,-0.25,3.0
NH,0.06,0.020833333333333332,0.060240963855421686,0.05063291139240506,1.25,1.0,D,W,D,M,M,W,L,D,M,M,0,0,0,0,0,0,0,0,0.25,-0.5,0.25,0.25,2.0
H,0.02,0.041666666666666664,0.07228915662650602,0.0759493670886076,0.0,1.5,L,L,L,M,M,W,L,W,M,M,0,0,0,0,0,0,0,0,-1.0,-0.5,-1.5,-1.5,5.0
NH,0.05,0.0625,0.0963855421686747,0.08860759493670886,1.2,1.0,L,W,L,W,M,L,D,W,D,M,0,0,0,0,0,0,0,0,-0.6,-0.2,0.2,0.2,-8.0
NH,0.04,0.0625,0.060240963855421686,0.06329113924050633,0.8,1.2,D,L,L,W,M,W,D,D,D,M,0,0,0,0,0,0,0,0,-0.2,0.2,-0.4,-0.4,-2.0
NH,0.04,0.07291666666666667,0.07228915662650602,0.0759493670886076,0.4,0.8,D,L,D,L,M,L,D,W,L,M,0,0,0,0,0,0,0,0,-0.4,0.2,-0.4,-0.4,-10.0
NH,0.04,0.020833333333333332,0.08433734939759036,0.1518987341772152,0.6,0.0,W,L,L,L,M,L,L,L,L,M,0,0,0,0,0,0,0,0,-0.6,-2.0,0.6,0.6,-6.0
NH,0.04,0.13541666666666666,0.04819277108433735,0.0379746835443038,1.0,2.0,D,W,L,D,M,W,W,W,D,M,0,0,0,0,0,0,0,0,0.0,2.0,-1.0,-1.0,10.0
H,0.03,0.052083333333333336,0.03614457831325301,0.06329113924050633,1.0,1.0,D,L,W,D,M,L,D,D,W,M,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-11.0
H,0.02,0.0625,0.0963855421686747,0.06329113924050633,0.8,1.2,D,L,W,L,M,D,D,W,D,M,0,0,0,0,0,0,0,0,-1.2,0.2,-0.4,-0.4,9.0
H,0.17,0.08333333333333333,0.012048192771084338,0.10126582278481013,2.4,1.4,W,W,W,W,M,W,D,L,W,M,0,0,0,0,0,0,0,0,3.2,0.0,1.0,1.0,-17.0
H,0.11,0.020833333333333332,0.060240963855421686,0.05063291139240506,1.6,1.0,D,W,D,W,M,D,W,L,D,M,0,0,0,0,0,0,0,0,1.2,-0.4,0.6,0.6,-5.0
NH,0.02,0.041666666666666664,0.13253012048192772,0.02531645569620253,0.8,1.0,D,W,L,L,M,D,L,W,D,M,0,0,0,0,0,0,0,0,-1.8,0.4,-0.2,-0.2,11.0
NH,0.14,0.052083333333333336,0.04819277108433735,0.11392405063291139,1.8333333333333333,1.1666666666666667,D,W,W,W,D,W,D,L,W,L,0,0,0,0,0,0,0,0,1.6666666666666667,-0.6666666666666666,0.6666666666666666,0.6666666666666666,-15.0
NH,0.07,0.020833333333333332,0.0963855421686747,0.16455696202531644,1.0,0.6666666666666666,L,D,D,W,D,L,D,W,L,L,0,0,0,0,0,0,0,0,-0.16666666666666666,-1.8333333333333333,0.3333333333333333,0.3333333333333333,-7.0
NH,0.08,0.052083333333333336,0.14457831325301204,0.0759493670886076,1.1666666666666667,0.8333333333333334,L,W,D,L,W,D,D,L,L,W,0,0,0,0,0,0,0,0,-0.6666666666666666,-0.16666666666666666,0.3333333333333333,0.3333333333333333,8.0
NH,0.07,0.041666666666666664,0.07228915662650602,0.08860759493670886,1.1666666666666667,0.3333333333333333,D,W,D,D,D,L,D,L,D,L,0,0,0,0,0,0,0,0,0.16666666666666666,-0.5,0.8333333333333334,0.8333333333333334,4.0
NH,0.04,0.052083333333333336,0.08433734939759036,0.06329113924050633,0.8333333333333334,1.0,L,D,W,L,D,D,D,W,L,D,0,0,0,0,0,0,0,0,-0.5,0.0,-0.16666666666666666,-0.16666666666666666,-6.0
H,0.06,0.21875,0.024096385542168676,0.012658227848101266,1.3333333333333333,2.5,W,D,L,W,D,W,W,W,W,W,0,0,0,0,1,1,0,0,0.6666666666666666,3.3333333333333335,-1.1666666666666667,-1.1666666666666667,4.0
H,0.03,0.0625,0.1566265060240964,0.05063291139240506,0.16666666666666666,1.3333333333333333,D,L,L,L,L,W,D,L,W,D,0,0,1,0,0,0,0,0,-1.6666666666666667,0.3333333333333333,-1.1666666666666667,-1.1666666666666667,13.0
NH,0.07,0.14583333333333334,0.0963855421686747,0.08860759493670886,1.0,1.8333333333333333,D,L,D,W,D,W,D,W,D,W,0,0,0,0,0,0,0,0,-0.16666666666666666,1.1666666666666667,-0.8333333333333334,-0.8333333333333334,12.0
NH,0.08,0.052083333333333336,0.07228915662650602,0.10126582278481013,1.1666666666666667,0.6666666666666666,W,L,D,W,L,D,W,L,L,L,0,0,0,0,0,0,1,0,0.3333333333333333,-0.5,0.5,0.5,7.0
NH,0.06,0.0625,0.0963855421686747,0.11392405063291139,0.8333333333333334,1.1666666666666667,L,L,D,D,W,D,L,W,L,W,0,0,0,0,0,0,0,0,-0.3333333333333333,-0.5,-0.3333333333333333,-0.3333333333333333,9.0
NH,0.07,0.041666666666666664,0.0963855421686747,0.08860759493670886,1.0,0.42857142857142855,D,L,D,D,W,D,L,D,L,D,0,0,0,0,0,0,0,0,-0.14285714285714285,-0.42857142857142855,0.5714285714285714,0.42857142857142855,1.0
H,0.07,0.07291666666666667,0.10843373493975904,0.08860759493670886,1.0,1.1428571428571428,W,D,W,L,L,W,D,D,L,L,0,0,0,0,0,0,0,0,-0.2857142857142857,0.0,-0.14285714285714285,0.2857142857142857,1.0
NH,0.07,0.16666666666666666,0.08433734939759036,0.11392405063291139,1.0,1.7142857142857142,D,D,D,W,L,D,W,D,W,D,0,0,0,0,0,0,0,0,0.0,1.0,-0.7142857142857143,-0.42857142857142855,11.0
H,0.06,0.08333333333333333,0.060240963855421686,0.12658227848101267,1.1428571428571428,1.4285714285714286,L,W,D,L,W,W,D,L,W,L,0,0,0,0,0,0,0,0,0.14285714285714285,-0.2857142857142857,-0.2857142857142857,0.0,-2.0
NH,0.08,0.09375,0.13253012048192772,0.12658227848101267,1.4285714285714286,1.0,W,W,D,L,W,D,D,L,D,W,0,0,0,0,0,0,0,0,-0.42857142857142855,-0.14285714285714285,0.42857142857142855,0.5714285714285714,4.0
NH,0.04,0.07291666666666667,0.1566265060240964,0.0759493670886076,0.5714285714285714,1.1428571428571428,W,D,L,L,L,D,D,W,D,D,0,0,1,0,0,0,0,0,-1.2857142857142858,0.14285714285714285,-0.5714285714285714,-0.42857142857142855,5.0
H,0.02,0.07291666666666667,0.1566265060240964,0.12658227848101267,0.7142857142857143,0.7142857142857143,D,L,D,W,L,L,L,L,D,D,0,0,0,0,0,0,0,0,-1.5714285714285714,-0.42857142857142855,0.0,0.42857142857142855,1.0
